Date,Region,Product_Category,Marketing_Spend,Sales_Revenue,Customer_Age,Store_Traffic
2023-01-01,East,Accessories,3654.36,14221.79,26,149
2023-01-02,West,Software,827.43,3458.11,23,72
2023-01-03,North,Software,4198.37,15012.28,42,149
2023-01-04,East,Accessories,3678.09,13544.26,24,129
2023-01-05,East,Accessories,866.07,4125.04,35,78
2023-01-06,West,Software,881.77,3433.79,54,86
2023-01-07,North,Electronics,4939.88,20285.51,31,170
2023-01-08,North,Electronics,2184.22,9537.99,50,113
2023-01-09,East,Software,2167.89,8262.43,20,120
2023-01-10,South,Electronics,4157.6,11425.07,28,133
2023-01-11,East,Software,4762.62,20689.75,18,207
2023-01-12,East,Electronics,4937.0,19661.79,35,172
2023-01-13,East,Electronics,3890.2,11586.24,44,99
2023-01-14,East,Accessories,2193.17,9311.57,35,115
2023-01-15,West,Accessories,875.75,4601.12,49,86
2023-01-16,North,Electronics,3997.16,14127.7,26,164
2023-01-17,West,Electronics,3012.82,11808.65,37,146
2023-01-18,West,Accessories,2409.0,7743.55,28,109
2023-01-19,West,Accessories,4578.59,12910.36,39,147
2023-01-20,East,Accessories,1000.39,4208.22,41,75
2023-01-21,South,Software,2716.81,10970.65,41,104
2023-01-22,North,Electronics,551.09,2179.22,22,66
2023-01-23,South,Accessories,2608.97,8646.09,24,122
2023-01-24,West,Electronics,753.36,3420.68,26,82
2023-01-25,West,Software,1034.68,3515.77,32,85
2023-01-26,South,Software,1028.87,5474.29,36,80
2023-01-27,South,Accessories,3421.45,11091.06,43,119
2023-01-28,South,Software,3857.2,12714.31,24,142
2023-01-29,West,Electronics,3125.16,12453.66,18,124
2023-01-30,West,Accessories,4829.78,16087.71,60,149
2023-01-31,North,Electronics,2186.92,7138.56,21,102
2023-02-01,North,Electronics,1785.7,5658.53,45,99
2023-02-02,West,Software,4408.7,13319.3,35,135
2023-02-03,South,Software,1506.18,5703.99,38,70
2023-02-04,South,Software,4834.5,15849.8,34,144
2023-02-05,North,Software,554.7,2532.06,30,69
2023-02-06,West,Software,4864.45,19221.54,40,181
2023-02-07,North,Accessories,694.22,3024.05,29,73
2023-02-08,North,Electronics,4510.14,16527.48,48,168
2023-02-09,East,Electronics,2874.65,11406.6,41,126
2023-02-10,East,Electronics,4968.34,14079.37,42,147
2023-02-11,East,Electronics,832.08,4563.66,28,79
2023-02-12,South,Software,2992.34,9168.77,32,128
