StudentID,Age,Monthly_Allowance,Department,Hostel_Status,Study_Hours
GLA0001,21.0,7543.39770818984,Computer Science,,26.8
GLA0002,20.0,5540.68657579271,Mechanical,,35.2
GLA0003,,4081.932080703115,Electrical,Day Scholar,38.2
GLA0004,22.0,1263.675178588252,Civil,Hosteller,10.1
GLA0005,20.0,1528.8826440502344,,Day Scholar,37.4
GLA0006,20.0,,Computer Science,Hosteller,22.2
GLA0007,22.0,3797.4818408967685,Computer Science,,14.0
GLA0008,21.0,1027.7188168329833,Mechanical,,
GLA0009,19.0,,Computer Science,Hosteller,
GLA0010,21.0,4267.487161870723,Electrical,Hosteller,22.2
GLA0011,19.0,50000.0,Biotech,Day Scholar,16.5
GLA0012,19.0,1525.9474483125973,Electrical,Hosteller,27.2
GLA0013,20.0,3387.093538416795,Computer Science,Day Scholar,13.4
GLA0014,17.0,4531.945859964439,Mechanical,Day Scholar,7.7
GLA0015,17.0,,Electrical,Hosteller,9.5
GLA0016,,1761.8496019240733,Electrical,Hosteller,9.5
GLA0017,18.0,4736.251866695617,Biotech,Day Scholar,10.3
GLA0018,20.0,1812.4712771584177,Computer Science,Hosteller,
GLA0019,19.0,2180.9047267542533,Biotech,,27.4
GLA0020,18.0,5117.072654997372,Biotech,Day Scholar,11.4
GLA0021,,4146.321442908304,Computer Science,,17.1
GLA0022,20.0,,Computer Science,,36.4
GLA0023,20.0,4215.439864509288,Computer Science,Day Scholar,21.6
GLA0024,18.0,3520.1329167617723,Computer Science,Hosteller,28.4
GLA0025,19.0,1295.0711843452314,Computer Science,Hosteller,11.0
GLA0026,20.0,,Mechanical,,11.7
GLA0027,18.0,,Computer Science,,6.4
GLA0028,21.0,1839.1006109872637,,Day Scholar,10.9
GLA0029,19.0,11836.928218488778,Civil,Day Scholar,14.8
GLA0030,20.0,2498.1624911200715,Computer Science,Day Scholar,11.2
GLA0031,19.0,7678.165633745569,Civil,,8.1
GLA0032,23.0,3992.0031572094495,Computer Science,Hosteller,9.2
GLA0033,20.0,5751.475758065199,Computer Science,,21.1
GLA0034,,3095.305973166311,Mechanical,Hosteller,12.2
GLA0035,21.0,3580.467707924755,Mechanical,Hosteller,17.7
GLA0036,18.0,3034.88030002508,Civil,Day Scholar,22.6
GLA0037,,1651.6446859757154,Mechanical,Hosteller,29.2
GLA0038,17.0,4845.285409197411,Civil,Day Scholar,6.4
GLA0039,18.0,,Computer Science,Hosteller,33.0
GLA0040,20.0,1073.849443242066,Computer Science,,27.0
GLA0041,,,Civil,Day Scholar,7.9
GLA0042,20.0,1584.800710674468,Civil,Hosteller,35.6
GLA0043,20.0,9463.24944181991,Biotech,Hosteller,
GLA0044,20.0,10232.68723836407,Electrical,,7.1
GLA0045,18.0,8390.529653901525,Computer Science,Hosteller,14.7
GLA0046,19.0,2386.8621894921002,Civil,Day Scholar,33.2
GLA0047,19.0,1046.7319461158331,Computer Science,Hosteller,31.2
GLA0048,,8906.57037199567,,Hosteller,11.5
GLA0049,21.0,2676.814831159184,Civil,Day Scholar,12.3
GLA0050,,11202.526048366168,Electrical,Hosteller,18.0
GLA0051,20.0,10941.206428390617,Civil,,22.0
GLA0052,19.0,6752.161051538257,Civil,Hosteller,26.6
GLA0053,19.0,2046.3282045164808,Computer Science,Hosteller,17.9
GLA0054,21.0,2458.875796296081,Biotech,Hosteller,
GLA0055,22.0,6714.179957434239,Electrical,Day Scholar,31.2
GLA0056,21.0,2143.438694292151,Civil,Hosteller,6.3
GLA0057,19.0,1557.1558488872643,Computer Science,Hosteller,13.8
GLA0058,20.0,,Civil,Hosteller,30.0
GLA0059,20.0,9253.880412421126,Computer Science,Hosteller,36.3
GLA0060,21.0,,Computer Science,,22.9
GLA0061,19.0,3532.3370093069666,Biotech,Day Scholar,23.6
GLA0062,20.0,1306.6845920479686,Computer Science,Hosteller,8.8
GLA0063,18.0,3863.5921465531533,Computer Science,Day Scholar,20.7
GLA0064,18.0,14831.709243538951,Biotech,Day Scholar,23.6
GLA0065,21.0,1452.7617599267924,Biotech,Hosteller,13.5
GLA0066,22.0,3191.4859749445113,Electrical,Hosteller,14.4
GLA0067,20.0,7295.825913702383,,,18.2
GLA0068,22.0,5050.10274506101,Electrical,Hosteller,5.7
GLA0069,21.0,,Computer Science,Day Scholar,16.3
GLA0070,19.0,4636.86266867347,Computer Science,Hosteller,12.4
GLA0071,21.0,2336.4770269448472,Mechanical,Hosteller,16.5
GLA0072,22.0,2042.6862528012855,Civil,Hosteller,9.2
GLA0073,20.0,,Civil,Hosteller,36.2
GLA0074,22.0,5983.9845972610865,Civil,,25.8
GLA0075,16.0,7053.8501421037445,Computer Science,Hosteller,28.8
GLA0076,21.0,8333.84788550991,Electrical,Day Scholar,32.6
GLA0077,20.0,3148.279710798711,Computer Science,Day Scholar,22.4
GLA0078,20.0,3088.5531326535975,Electrical,Hosteller,8.0
GLA0079,20.0,,Electrical,Hosteller,23.8
GLA0080,17.0,4149.1572246634005,Civil,Hosteller,25.5
GLA0081,,4631.6519455345515,Computer Science,,31.1
GLA0082,21.0,5765.858424862615,Computer Science,,20.1
GLA0083,22.0,7621.9704290403015,,,9.5
GLA0084,,2237.447221412963,,Hosteller,
GLA0085,19.0,2412.810366182669,Mechanical,,17.7
GLA0086,19.0,1296.0881175620816,Computer Science,Hosteller,27.6
GLA0087,,3590.242079828304,Computer Science,Hosteller,25.0
GLA0088,20.0,1109.812312632571,Mechanical,Day Scholar,17.5
GLA0089,19.0,2879.8208445463288,Computer Science,Day Scholar,39.5
GLA0090,21.0,3346.8837570613778,Civil,,
GLA0091,20.0,2012.8919809435674,Mechanical,Hosteller,13.3
GLA0092,21.0,3680.8975904385256,Computer Science,,8.6
GLA0093,19.0,1092.9251863044237,Computer Science,Day Scholar,10.4
GLA0094,20.0,1114.190497848368,Biotech,Day Scholar,13.6
GLA0095,19.0,6188.054108614408,Computer Science,Day Scholar,10.6
GLA0096,18.0,2339.755072623234,Computer Science,Hosteller,11.5
GLA0097,20.0,1407.667123892284,Civil,Day Scholar,15.0
GLA0098,,3215.960764837047,Biotech,Hosteller,11.1
GLA0099,20.0,5408.943821337206,Biotech,Day Scholar,
GLA0100,20.0,,Civil,Day Scholar,7.8
