StudentID,CGPA,Credits_Completed
GLA0021,8.89,53
GLA0022,9.22,119
GLA0023,8.85,113
GLA0024,8.26,49
GLA0025,6.08,115
GLA0026,5.64,40
GLA0027,9.55,44
GLA0028,8.21,59
GLA0029,9.0,47
GLA0030,7.62,82
GLA0031,6.02,115
GLA0032,6.05,40
GLA0033,8.52,96
GLA0034,7.39,103
GLA0035,6.38,67
GLA0036,7.66,76
GLA0037,5.78,86
GLA0038,8.06,115
GLA0039,6.68,76
GLA0040,9.01,88
GLA0041,6.87,83
GLA0042,7.5,95
GLA0043,5.55,67
GLA0044,5.82,118
GLA0045,7.23,45
GLA0046,7.61,100
GLA0047,8.14,59
GLA0048,6.78,117
GLA0049,8.56,41
GLA0050,9.28,112
GLA0051,8.93,76
GLA0052,5.67,59
GLA0053,7.61,65
GLA0054,5.96,68
GLA0055,6.56,40
GLA0056,9.84,74
GLA0057,6.13,109
GLA0058,7.7,98
GLA0059,8.22,108
GLA0060,8.59,72
GLA0061,7.96,90
GLA0062,5.54,117
GLA0063,6.94,51
GLA0064,7.78,59
GLA0065,5.89,92
GLA0066,7.04,82
GLA0067,5.65,89
GLA0068,5.85,68
GLA0069,7.25,96
GLA0070,6.08,78
GLA0071,8.0,95
GLA0072,8.53,82
GLA0073,9.02,89
GLA0074,6.38,62
GLA0075,6.24,83
GLA0076,5.96,77
GLA0077,8.3,62
GLA0078,8.61,84
GLA0079,5.64,91
GLA0080,9.62,119
GLA0081,5.73,89
GLA0082,7.88,47
GLA0083,8.62,40
GLA0084,9.33,47
GLA0085,8.64,68
GLA0086,9.03,44
GLA0087,6.99,86
GLA0088,9.09,73
GLA0089,5.85,104
GLA0090,9.44,94
GLA0091,7.91,82
GLA0092,9.1,113
GLA0093,7.49,69
GLA0094,8.33,56
GLA0095,7.82,65
GLA0096,8.72,47
GLA0097,5.86,86
GLA0098,5.77,115
GLA0099,6.59,111
GLA0100,6.2,85
GLA0101,9.34,107
GLA0102,6.46,72
GLA0103,9.79,40
GLA0104,6.98,58
GLA0105,6.3,70
GLA0106,8.97,119
GLA0107,8.4,53
GLA0108,7.69,92
GLA0109,7.94,87
GLA0110,8.66,108
GLA0111,6.51,101
GLA0112,9.88,105
GLA0113,9.79,103
GLA0114,8.36,109
GLA0115,6.38,102
GLA0116,8.49,112
GLA0117,5.82,72
GLA0118,5.63,80
GLA0119,6.63,87
GLA0120,7.54,52
GLA0200,9.32,112
GLA0201,8.7,116
GLA0202,8.77,70
GLA0203,7.37,114
GLA0204,7.02,107
GLA0205,7.13,43
GLA0206,9.85,58
GLA0207,5.68,109
GLA0208,9.31,52
GLA0209,8.05,62
GLA0210,7.43,114
GLA0211,8.69,40
GLA0212,7.64,93
GLA0213,9.34,110
GLA0214,9.46,54
GLA0215,7.36,104
GLA0216,6.72,115
GLA0217,8.11,110
GLA0218,9.51,54
GLA0219,6.43,60
GLA0220,8.24,58
GLA0221,8.28,99
GLA0222,8.73,72
GLA0223,6.08,88
GLA0224,8.65,74
GLA0225,9.5,83
GLA0226,6.29,50
GLA0227,6.55,111
GLA0228,9.77,117
GLA0229,6.3,113
GLA0230,9.26,105
GLA0231,7.67,85
GLA0232,6.59,48
GLA0233,9.33,42
GLA0234,7.46,65
GLA0235,7.77,111
GLA0236,7.08,87
GLA0237,8.11,105
GLA0238,6.22,109
GLA0239,7.22,67
GLA0240,9.77,65
GLA0241,6.64,64
GLA0242,8.39,51
GLA0243,6.93,44
GLA0244,8.9,87
GLA0245,6.08,76
GLA0246,9.77,118
GLA0247,7.5,83
GLA0248,6.54,54
GLA0249,5.82,82
